student_id,activity_type,duration,age,gender,location,performance_score,interest_level
1,Social Media,81,14,F,Library,42,Low
2,Music,153,14,F,Community Center,33,Low
3,Cooking,163,15,F,Community Center,55,Medium
4,Exercise,160,13,M,Library,70,Medium
5,Homework,295,17,M,Home,22,Medium
6,Video Games,172,12,M,Friend's House,90,High
7,Homework,165,13,M,Home,73,Medium
8,Sports,67,15,F,Park,95,High
9,Cooking,240,12,F,Home,16,Medium
10,Cooking,76,12,M,Home,32,Low
11,Homework,120,17,F,Home,100,High
12,Reading,101,17,M,Home,58,Medium
13,Homework,99,16,F,Home,97,High
14,Reading,73,14,F,Gym,36,Low
15,TV,297,14,F,Home,28,High
16,Social Media,125,12,M,Library,79,Medium
17,Reading,231,15,F,Friend's House,16,Medium
18,Video Games,96,14,F,Community Center,90,High
19,Music,88,16,F,Home,54,Medium
20,Social Media,40,16,F,Library,67,Medium
21,Exercise,172,12,M,Home,72,Medium
22,TV,135,16,F,Library,66,Medium
23,Video Games,106,12,F,Library,96,High
24,Homework,97,15,M,Community Center,44,Low
25,Music,152,16,M,Home,96,High
26,Music,170,17,M,Gym,48,Low
27,Social Media,178,13,M,Friend's House,78,Medium
28,Video Games,141,17,M,Community Center,39,Low
29,Homework,69,14,F,Gym,77,Medium
30,Reading,100,13,F,Park,58,Medium
31,Social Media,43,12,M,Friend's House,59,Medium
32,TV,128,13,F,Gym,31,Low
33,Homework,102,14,M,Park,91,High
34,Social Media,163,12,F,Library,97,High
35,Sports,180,16,M,Library,65,Medium
36,Social Media,54,13,F,Community Center,45,Low
37,Video Games,165,12,M,Library,43,Low
38,Video Games,90,16,F,Library,96,High
39,Homework,146,17,M,Home,57,Medium
40,Exercise,83,16,M,Friend's House,85,High
41,Social Media,45,15,M,Gym,86,High
42,Social Media,30,16,F,Library,75,Medium
43,Social Media,57,17,F,Gym,58,Medium
44,Reading,129,17,F,Library,53,Medium
45,TV,42,13,M,Home,74,Medium
46,TV,110,16,F,Community Center,36,Low
47,Homework,149,17,M,Home,76,Medium
48,Social Media,109,12,F,Friend's House,34,Low
