duration,age,performance_score,study_hours,stress_level,activity_type_Cooking,activity_type_Exercise,activity_type_Homework,activity_type_Music,activity_type_Reading,activity_type_Social Media,activity_type_Sports,activity_type_TV,activity_type_Video Games,gender_F,gender_M,location_Community Center,location_Friend's House,location_Gym,location_Home,location_Library,location_Park,interest_level_High,interest_level_Low,interest_level_Medium,parental_support_High,parental_support_Low,parental_support_Medium,peer_influence_Negative,peer_influence_Neutral,peer_influence_Positive
1.2031004e-05,0.99998844,0.9999926,9.611205e-06,5.405491e-06,5.1324173e-06,1.5733616e-05,1.0304883e-05,0.9999589,0.7942925,1.9620542e-05,0.9999875,0.99998987,0.18508734,0.50585675,0.9999962,0.99995166,0.60545707,0.6065626,0.9999758,0.9999908,5.3776944e-06,0.9999886,0.99999267,0.99999523,0.9999919,0.9997939,1.6282645e-05,0.18384059,0.88101906,0.999988
7.2510484e-06,0.9999925,0.99999565,5.7799793e-06,3.3476988e-06,2.7757205e-06,8.820492e-06,6.8057193e-06,0.9999782,0.7929848,1.1143289e-05,0.9999933,0.99999404,0.18433988,0.50508535,0.9999979,0.99997306,0.60511756,0.6071443,0.9999856,0.9999954,2.8390955e-06,0.9999928,0.99999535,0.9999972,0.9999951,0.99985856,9.601567e-06,0.18501748,0.87831235,0.9999936
6.595356e-06,0.99999195,0.99999577,5.6366243e-06,3.2948549e-06,3.1778854e-06,9.314952e-06,7.059416e-06,0.9999752,0.7946379,1.0451698e-05,0.9999921,0.999994,0.18435368,0.50502664,0.9999977,0.99996895,0.60635626,0.606887,0.9999831,0.9999944,3.0255806e-06,0.9999936,0.99999535,0.9999971,0.99999464,0.99985445,1.070205e-05,0.18420936,0.88114667,0.99999326
2.1592205e-06,0.99999785,0.99999875,1.768091e-06,1.0190715e-06,8.3263814e-07,2.3705484e-06,1.8837211e-06,0.9999917,0.79519063,3.1694228e-06,0.9999979,0.9999982,0.18377168,0.5068871,0.99999946,0.9999893,0.6059747,0.60580647,0.99999523,0.99999875,7.541928e-07,0.99999815,0.99999845,0.9999991,0.99999857,0.9999291,2.645458e-06,0.18298832,0.88401276,0.99999803
5.8653145e-06,0.9999935,0.99999595,4.6398554e-06,2.8239008e-06,2.525571e-06,6.751617e-06,5.8736664e-06,0.999978,0.79483366,9.487282e-06,0.99999374,0.99999464,0.18446125,0.5065069,0.99999833,0.99997205,0.60647607,0.6053858,0.9999885,0.99999636,2.6818925e-06,0.9999947,0.99999535,0.9999974,0.9999956,0.99986166,7.103149e-06,0.18308485,0.883469,0.9999945
2.977563e-06,0.99999654,0.99999803,2.4475592e-06,1.4169617e-06,1.1758807e-06,3.5880983e-06,2.679607e-06,0.99998593,0.79523236,5.104024e-06,0.99999696,0.99999744,0.18399021,0.50683284,0.9999992,0.99998194,0.6060456,0.6060914,0.99999326,0.9999982,1.1405855e-06,0.99999714,0.9999977,0.99999875,0.9999979,0.99990106,3.7458485e-06,0.18333314,0.8839768,0.9999972
9.196411e-07,0.999999,0.9999994,7.4523416e-07,4.4620833e-07,3.505993e-07,9.5303244e-07,8.9946917e-07,0.9999954,0.797274,1.5335419e-06,0.99999905,0.9999993,0.18245882,0.50977105,0.99999976,0.9999942,0.6072358,0.6035621,0.999998,0.9999995,3.3100122e-07,0.9999991,0.99999934,0.9999996,0.99999934,0.9999526,1.25921e-06,0.1810456,0.89024127,0.9999992
5.4108496e-06,0.9999945,0.99999696,4.2951983e-06,2.3753098e-06,2.1282156e-06,6.0006555e-06,4.558269e-06,0.9999831,0.79713356,7.997994e-06,0.99999505,0.9999959,0.18330686,0.5080421,0.9999986,0.9999811,0.60707176,0.6050879,0.9999884,0.9999965,1.9519816e-06,0.99999505,0.99999684,0.99999785,0.9999962,0.9998959,7.385034e-06,0.18218207,0.8872414,0.99999523
2.4409278e-06,0.999997,0.9999985,1.9942352e-06,1.167666e-06,9.61166e-07,2.5710813e-06,2.5015377e-06,0.9999903,0.7953026,4.0532286e-06,0.99999774,0.9999979,0.1834229,0.5068421,0.9999993,0.9999876,0.6070195,0.60568845,0.9999948,0.99999857,1.0054506e-06,0.99999774,0.9999984,0.9999989,0.99999833,0.9999207,3.72357e-06,0.18316759,0.8843596,0.99999785
5.5228807e-06,0.9999941,0.9999966,4.5188945e-06,2.390887e-06,2.0320228e-06,5.8092287e-06,5.134243e-06,0.9999795,0.7943892,8.5009715e-06,0.99999464,0.9999957,0.18415801,0.5058895,0.9999984,0.9999755,0.6061359,0.6064222,0.99998957,0.99999636,2.1188714e-06,0.9999949,0.99999666,0.99999756,0.99999654,0.9998674,7.3263413e-06,0.1842434,0.88115054,0.99999535
1.7512792e-06,0.999998,0.99999887,1.4505682e-06,7.8799144e-07,6.363873e-07,1.8822324e-06,1.7005805e-06,0.99999225,0.79605275,3.0052008e-06,0.9999981,0.9999987,0.18338314,0.5076958,0.9999995,0.999991,0.6067505,0.6045741,0.9999957,0.99999887,5.754738e-07,0.9999984,0.9999988,0.9999992,0.99999875,0.9999319,2.6743273e-06,0.18246421,0.8863245,0.9999983
1.5435751e-06,0.99999845,0.9999989,1.4485803e-06,7.48405e-07,5.553146e-07,1.9311215e-06,1.4926114e-06,0.9999927,0.79548776,2.5473998e-06,0.9999985,0.9999984,0.18353242,0.5071979,0.99999964,0.99999124,0.6055188,0.60538006,0.9999961,0.999999,6.4848484e-07,0.99999857,0.9999989,0.9999994,0.9999988,0.9999407,2.3645493e-06,0.18326023,0.8848957,0.9999985
1.67615e-06,0.9999983,0.9999988,1.5335389e-06,7.6648536e-07,5.2856973e-07,1.6444187e-06,1.6399083e-06,0.99999154,0.795755,3.0033814e-06,0.9999985,0.99999845,0.18360569,0.507876,0.99999964,0.99998975,0.60643816,0.6049178,0.9999967,0.99999917,7.00591e-07,0.99999857,0.9999986,0.99999934,0.9999988,0.9999301,2.2391523e-06,0.18219177,0.8862922,0.9999986
2.9018915e-06,0.9999973,0.9999981,2.4009246e-06,1.2704254e-06,9.614521e-07,3.256388e-06,2.520893e-06,0.99998784,0.7951136,4.62592e-06,0.9999972,0.9999976,0.18331365,0.5076574,0.9999992,0.9999842,0.6059629,0.6050328,0.999994,0.99999815,1.0118098e-06,0.9999976,0.9999981,0.99999887,0.9999983,0.99990946,3.5502885e-06,0.1830108,0.88446295,0.9999973
4.8773923e-06,0.9999951,0.99999696,4.134594e-06,2.1453022e-06,1.9179838e-06,5.6788876e-06,4.398213e-06,0.9999841,0.794037,8.28211e-06,0.99999475,0.9999962,0.18478715,0.50622076,0.99999857,0.9999807,0.60522395,0.60619736,0.99998945,0.9999966,1.8044739e-06,0.99999523,0.9999971,0.9999979,0.9999966,0.9998928,7.2551434e-06,0.18423875,0.8807663,0.9999955
7.560467e-06,0.999992,0.99999523,6.041516e-06,3.5869725e-06,3.1696134e-06,7.919287e-06,7.155624e-06,0.9999776,0.7945741,1.1349791e-05,0.99999315,0.99999374,0.1847222,0.5057161,0.9999979,0.99997205,0.6063626,0.6068655,0.99998695,0.9999953,3.2406779e-06,0.999993,0.9999949,0.9999967,0.9999948,0.999854,9.520809e-06,0.18404694,0.88172483,0.9999936
1.3740437e-06,0.99999845,0.9999991,1.1498975e-06,6.9515886e-07,4.542667e-07,1.6174027e-06,1.3323787e-06,0.99999326,0.7941964,2.532788e-06,0.9999985,0.99999887,0.18404585,0.50704587,0.99999964,0.99999106,0.60513854,0.60475314,0.99999696,0.99999905,4.6938314e-07,0.99999887,0.99999905,0.9999994,0.99999917,0.9999346,1.8049076e-06,0.18377407,0.88369036,0.99999875
5.628588e-06,0.9999941,0.99999654,4.6062637e-06,2.609887e-06,2.3494663e-06,6.1445608e-06,5.6025124e-06,0.99998164,0.79542637,8.653892e-06,0.9999948,0.99999547,0.18401134,0.5067695,0.9999984,0.9999764,0.6065711,0.60580575,0.99998826,0.99999636,2.4187493e-06,0.9999947,0.9999962,0.9999976,0.999996,0.9998698,7.718373e-06,0.18342733,0.88331664,0.9999945
2.7448345e-06,0.9999971,0.9999985,2.0894518e-06,1.2660639e-06,1.0488164e-06,3.4325067e-06,2.4901747e-06,0.9999908,0.7950728,4.4123376e-06,0.9999972,0.9999979,0.18379958,0.50691444,0.9999992,0.9999861,0.60572124,0.60542035,0.9999935,0.9999978,9.885757e-07,0.9999975,0.9999984,0.9999989,0.9999982,0.99991876,4.2276847e-06,0.18333036,0.8841741,0.9999978
4.430875e-06,0.99999577,0.99999744,3.798854e-06,2.085053e-06,1.6644025e-06,5.3246567e-06,4.17372e-06,0.999984,0.7938552,7.629726e-06,0.9999958,0.9999966,0.18472536,0.505381,0.9999988,0.99997747,0.6052889,0.6061284,0.9999903,0.999997,1.7534518e-06,0.9999963,0.99999726,0.9999983,0.99999744,0.9998778,6.009498e-06,0.18370259,0.881047,0.9999957
5.0530252e-06,0.99999493,0.99999696,4.209516e-06,2.18141e-06,1.9101783e-06,6.6895323e-06,4.428817e-06,0.99998313,0.7945581,8.464745e-06,0.99999505,0.9999959,0.18386175,0.5061505,0.99999845,0.9999802,0.6052285,0.605551,0.9999873,0.9999961,1.8884463e-06,0.99999523,0.99999714,0.99999803,0.99999666,0.9998888,7.155945e-06,0.1834523,0.8826987,0.99999535
5.025781e-06,0.99999434,0.99999666,4.254407e-06,2.4526648e-06,1.8861316e-06,5.360715e-06,5.0178833e-06,0.9999805,0.7933258,7.310533e-06,0.9999957,0.99999577,0.18482804,0.50498974,0.99999857,0.999976,0.6049684,0.60669076,0.9999898,0.9999971,2.1696549e-06,0.9999951,0.99999636,0.99999756,0.99999624,0.9998716,6.3316397e-06,0.18494286,0.8784839,0.9999956
2.6566656e-06,0.9999969,0.9999982,2.288166e-06,1.3097796e-06,1.1189483e-06,3.3156302e-06,2.7518065e-06,0.9999895,0.795771,4.352266e-06,0.99999726,0.9999977,0.18374887,0.50803137,0.9999993,0.9999864,0.60675514,0.6050207,0.9999943,0.99999833,1.0803875e-06,0.9999975,0.99999803,0.9999988,0.9999981,0.99991184,3.696528e-06,0.18270119,0.8855961,0.9999973
2.7638548e-06,0.99999726,0.99999815,2.3839857e-06,1.1894228e-06,9.61023e-07,3.2646874e-06,2.6436599e-06,0.9999877,0.7964227,4.877569e-06,0.9999972,0.9999973,0.18336116,0.50700223,0.9999992,0.9999852,0.6069273,0.6056285,0.9999939,0.9999983,1.3377108e-06,0.9999976,0.9999981,0.9999989,0.99999803,0.9999151,3.7604873e-06,0.18181027,0.88659596,0.9999974
1.5896645e-06,0.9999981,0.99999887,1.561544e-06,7.8985585e-07,6.1600537e-07,1.7492829e-06,1.697492e-06,0.999991,0.79679275,3.0451429e-06,0.99999833,0.9999984,0.18336615,0.5081407,0.9999995,0.99998933,0.6072713,0.6049622,0.9999962,0.9999991,6.773763e-07,0.99999845,0.99999875,0.9999993,0.9999987,0.9999293,2.3236232e-06,0.18246637,0.8875147,0.9999985
1.4946313e-06,0.99999833,0.9999991,1.2172669e-06,7.2497926e-07,5.539964e-07,1.8903545e-06,1.3084549e-06,0.99999267,0.795954,2.7013389e-06,0.9999984,0.99999875,0.18302992,0.50883293,0.9999996,0.9999898,0.60639465,0.60426944,0.99999654,0.9999989,5.5204765e-07,0.9999986,0.99999905,0.99999946,0.99999905,0.99993247,2.0569405e-06,0.18227029,0.88715255,0.9999988
